SN,Company,Vertical,Sub-vertical,Domain,Address,City,PinCode,"Founder edu: 1 others, 2: NIT, 3 : IIT, IIM, MS; ",Founder exp total,Dt of incorporation,Period wef incorporation yrs,Team no,Team tot man yrs exp,Innovation Quotion: 1-5,Awards,Awards details,"Stage: seed 1, POC 2, pilot 3, growth 4",Stage,Money Raised in M$,L Dt money recd,IP Filed/2 + Granted,No. of paid clients,Revenue Rs. Lakhs,Total Rating
245,Convergytics,IT,Enterprise Solutions,IT > Enterprise Solution > CRM > BI,"5/1, Gulmohar Enclave,
Opp. Sankara Eye Hospital,
Marathahalli",Bangalore,560037,1,59,13-May-13,8.4,84,383,4,2,https://convergytics.net/,4,Growth,,,,,181.8,44.1
246,Cropin Technologies,Agritech,"ADAS, Embedded, and IOT",Agritech > IoT,"#1021, 3rd Floor, 16th Main, BTM Layout 1st Stage",Bangalore,560029,1,14,26-Aug-10,11.1,181,734,4,,,4,Growth,13.5,19-Nov-18,,,610,81.0
247,DOERS - Online Vehicle Assistance,Transportation & Logistics,Two-wheelers & Smart cities,Transportaion > Two Wheelers > Repairing service,"945, 1ST FLOOR, 5TH MAIN, 21ST CROSS, SECTOR 7, HSR LAYOUT",Bangalore,560102,,,20-Dec-16,4.8,,,3,1.666666667,Media Coverage,3,Early Traction,,,,,,1.2
248,Edge Tensor,AI,Enterprise Solutions,AI > Enterprise Solution ,"2nd floor, Innova Pearl, 17, 1st Main Rd, KHB Colony, Koramangala Industrial Layout, Koramangala, ",Bangalore,560095,1,33,26-Mar-18,3.6,19,101,4,,,3,Early Traction,,04-Feb-19,,,,12.8
249,Eko Informatics Solution,IT,Enterprise Solutions,IT > Enterprise Solutions > Data analytics,"27/6, Union Street Cross, Off Cubbon Road",Bangalore,560001,1,19,29-Apr-10,11.5,5,35,4,,,4,Growth,,,,19,2182,52.3
250,GingerMind Technologies Pvt Ltd,AI,AI,AI > AR/VR,"#445 2nd Floor JKN Towers 16th Cross, 5th Main Rd,
Sector 6, HSR Layout,",Bangalore,560095,1,22,20-Aug-14,7.2,10,54,4,12,,3,Early Traction,,,,,,9.0
251,faast Help,IT,Enterprise Solutions,,,Bangalore,560001,3,7,26-Mar-16,5.6,2,14,4,,,3,Early Traction,,,,,,3.3
252,fasal,IoT Platform,Agritech,IoT > Agritech,"No.1678, 23rd Cross
27th Main Sector 1, HSR Layout",Bangalore,560102,1,13,11-Jan-18,3.8,26,61,4,1.666666667,Media Coverage,3,Early Traction,1.8,30-Oct-19,,,700,22.8
253,FieldEZ,Transportation & Logistics,Enterprise Solutions,Logistics > Enterprise Solution,"#8/2, Novel Office Central, 3rd Floor, Ulsoor Road, Off MG Road",Bangalore,560001,1,26,15-Nov-11,9.9,27,130,4,,,4,Growth,,,,16,776.8,32.6
254,Autozo Technologies Pvt Ltd(FirstU),Automotive,Enterprise Solutions,Automotive > Maintainence,"102, Eden Park, 20 Vittal Mallya Road",Bangalore,560001,1,20,28-Jun-16,5.3,13,64,3,,,3,Early Traction,,26-Nov-19,,,,8.6
255,Shubh Mani Solutions Private Limited,Transportation & Logistics,Enterprise Solutions,Transportation > Travel,"604, ETA, The Gardens, Tank Bund Road, Magadi Road",Bangalore,560023,1,10,24-Nov-15,5.9,,,,,,4,Growth,,,,,,2.1
256,Get Active,Healthtech,Enterprise Solutions,HealthTech > Enterprise Solution,"600, 2nd Cross Rd, Koramangala 3 Block",Bangalore,560034,1,92,19-Jun-09,12.3,17,148,3,,,4,Growth,,,,,,22.8
257,Gloinnt Solutions,IT,Enterprise Solutions,,"No. 49 & 50, 1st Floor, 3rd Cross,
Meganahalli, Kalyan Nagar,",Bangalore,560043,1,24,13-Apr-16,5.5,75,320,3,,,3,Early Traction,,,,,,31.3
258,Agstack Technologies Pvt. Ltd,IT,Enterprise Solutions,,"#51, 5th Floor, Leela Palace Road, Kodihalli,",Bangalore,560008,3,29,1-May-16,5.5,55,237,4,,,4,Growth,6,06-Aug-19,,,,25.5
259,Havstruck Solutions,Transportation & Logistics,smart city,Transportaion > Smart City,"104 (First floor), East Park Road, 8th Cross Malleshwaram",Bangalore,560003,1,29,10-May-16,5.4,5,41,4,,,3,Early Traction,,,,,,7.4
260,Headway.ai,HR,AI,HR > AI based Platform for Hiring,Indiranagar Near Flyover,Bangalore,560008,1,16,13-Oct-16,5.0,8,44,4,,,3,Early Traction,,,,,,6.5
261,Health5C Wellness Solutions Private Limited,Healthtech,smart city,Healthtech > Smart city > Healh screening app,"4/1, Patel Rama Reddy Road.
KR Colony, Domlur",Bangalore,560071,1,141,22-Dec-11,9.8,26,217,4,,,3,Early Traction,,,,,310.1,39.1
262,HealthMacro Technologies,Healthtech,SaaS,Healthtech > SAAS,"#147, 36th A Cross,
7th Main, 5th Block, Jayanagar,",Bangalore,560041,1,20,29-Oct-12,9.0,6,44,3,4,http://healthmacro.com/awards/,3,Early Traction,,,,27,,10.0
263,Highir Technologies,Transportation & Logistics,smart city,Transportaion > Smart city > Trip planning,"36/1, Arekempanahalli 1st Block Jayanagar",Bangalore,560027,1,20,10-Oct-16,5.0,,,4,,,3,Early Traction,,,,,,3.3
264,Hopon,Transportation & Logistics,Enterprise Solutions,Transportaion > Enterprise Solution > Employee Travel,"No 255, 1st Floor, 5th Main, 36th Cross, 4th Block,
Jayanagar",Bangalore,560011,1,40,9-Oct-13,8.0,20,104,3,,,2,Paid Poc,0.765,15-Jul-16,,3,,14.4
265,Hotify,IT,Enterprise Solutions,,Whitefield,Bangalore,560048,3,96,14-Jan-15,6.8,19,156,4,,,3,Early Traction,0.15,28-Dec-15,,,210,27.7
266,Ifuture Robotics,Robotics,Industry Automation,Robotics > Industry Automation,"221 Outer Ring Road, Banashankri 3rd Stage, ",Bangalore,560085,1,12,1-Jun-16,5.4,14,64,4,1.333333333,http://ifuturerobotics.com/blog.html,3,Early Traction,0.396,17-Jan-17,6,,1400,36.7
267,Immidart Technologies,IT,Enterprise Solutions,IT > Enterprise Solution,"Ferns Icon, Ground Floor,
Marathahalli Outer Ring Road,
Doddenakundi",Bangalore,560037,1,54,2-Jan-15,6.8,36,186,3,,,3,Early Traction,,,,,700,36.3
268,Impact Analytics,Retail,Analytics,Retail > Analytics,"6th Floor, Global Technology Park, Block C, Outer Ring Rd, Bellandur,",Bangalore,560103,3,84,1-Jan-15,6.8,217,928,4,,,3,Early Traction,0.75,31-Oct-16,,,3568,161.6
269,Inito,Healthtech,"ADAS, Embedded, and IOT",Healthtech > Fertility,"1st Floor, #285, 11th Main, Koramangala 4th Block,",Bangalore,560034,3,21,26-Jun-12,9.3,31,137,4,3,Media Coverage,3,Early Traction,2,18-Mar-19,,,,16.1
270,Scientist technologies,Smart city,,,"9th Fl, Prestige Towers, Residency Road",Bangalore,560025,1,9,10-Jun-16,5.4,4,15,4,2,,2,POC,,,,1,40,4.5
271,Impel Labs (Recotap),AI,Enterprise Solutions,AI > Enterprise solution > Marketting,"Green Bubbles, Hsr Layout,
Sector 6",Bangalore,560102,1,35,1-Jan-18,3.8,7,55,4,,,2,POC,0.15,01-Jan-18,,,,8.9
272,Bewgle,AI,Enterprise Solutions,AI > Enterprise Solution > Analytics,,Bangalore,560066,2,43,6-Dec-18,2.9,12,83,3,,,2,POC,,,,,,11.9
273,Clarisights,AI,Enterprise Solutions,AI > Enterprise Solution > BI,"211, PRESTIGE CENTER POINT CUNNINGHAM ROAD",Bangalore,560052,1,43,1-Oct-17,4.0,38,183,4,,,3,Early Traction,2.3,01-Dec-18,,,,21.2
274,Think Crazy,Smart Cities,,,"Prerna Towers, 563/1 Ranka colony, Bilekahalli, off BAnerghatta Rd",Bangalore,560076,,,,121.9,,,,,,,,,,,,,12.2
275,fingurus,Fintech,,,"167 KBH colony, 17th C Main Rd, 5th Block, Koramangala",Bangalore,560095,,,,121.9,,,,,,,,,,,,,12.2
276,VSM Software,Healthtech,Pharma,,"8, 1st Phase, 2nd Cross, 2nd Stage, High Tension Line Park Road |Chandra Lay out",Bangalore,560040,,,,121.9,,,,,,,,,,,,,12.2
277,Pixxel,Space,,Satellite Earth Imaging and Analytics,"Workbench Projects, Gupta Layout, Halasuru",Bangalore,560008,,,,121.9,,,,,,2,Prototype,,,,,,12.4
278,"Foradian Technologies (Fedena)
",Agritech,Enterprise Solutions,School / University management System,"#2569/665, J K Landmark,
27th Main Rd, Sector 1,
HSR Layout,",Bangalore,560102,,,29-Jan-09,12.7,61,,,,,4,Growth,,,,,210,10.1
279,Finnant Designs Pvt Ltd,Iot,"ADAS, Embedded, and IOT",IoT > Liquor Vending Machine,"7th Block, JP nagar 9th phase,",Bangalore,560062,1,25,17-Aug-16,5.2,8,53,4,,,2,Paid POC,,,,,,8.0
280,Avaamo,AI,,Conversational AI,81/37 Lavelle Road,Bangalore,560001,,,25-Jun-14,7.3,,,,,,,,23.5,,,,,3.1
281,Bioen,Smart city,Solid waste management,,"20, 2nd cross, 2nd main, RMV 2nd stage, Nagashettyhalli
",Bangalore,560094,,,,121.9,,,,1,Elevate100,,,,,,,,12.3
282,CongnitifAI,IT,Enterprise Tech,AI > CV > NLP,"909 lavelle, 9/1 lavelle road,
Bengaluru, Karnataka - 560001",Bangalore,560001,1,8,1-Dec-16,4.9,20,,4,,,1,Seed,,,,,,3.3
283,Anscer Robotics,Robotics,EnterpriseTech,Robotics > UGVs > Warehouse,"#16, 2nd floor, IKP EDEN, Bhuvanappa Layout, Tavarekere Main Road, Bengaluru -560029",Bangalore,560029,1,3,10-Jul-20,1.3,8,,3,1,hackthecrisis winner,2,POC,,,,,,1.6
284,Trithi Robotics,Robotics,Drones,IOT > Drones > Agritech,"TRITHI Robotics Pvt Ltd, 91springboard, Gopalkrishna Complex, Residency Road, Bengaluru",Bangalore,560076,1,13,06-Oct-17,4.0,10,,4,6,"A. DIPP-Govt. Of India – Certified.
B. Startup India Recognised.
C. Startup Karnataka Recognised.
D. Winner of Agriculture Grand Challenge 2018 – Ministry of Agriculture, GOI.
E. Winner of Atal Innovation Mission 2018 – Niti Aayog GOI.
F. Featured on National & International Media.",3,Early Traction,,,,2,,3.8
285,ifuture robotics,Robotics,Automation,Robotics > CV > AI," 221 Outer Ring Road, Banashankri 3rd Stage, Bangalore 560085
INDIA",Bangalore,560085,1,13,1-Jun-16,5.4,11,,4,5,"QDIC, Emrge50, QPrize, SAP startup social, Zurich Kickstart 2018",3,Early Traction,,,,,,3.7
286,VST Mobility Solutions,IIOT,Mobility,Vehicle Tracking,"82/3, Shop No.7, 1st Floor,
KTR Complex, Near Ayyappa Temple,
Madiwala, Bangalore, Karnataka  ",Bangalore,560068,1,6,7-Aug-15,6.2,40,,3,,,3,Early Traction,,,,,,4.7
287,sigsenz,AI,"ADAS, Embedded, and IOT",ADAS > CV > AI,"#1292, 32F Cross, 4th T Block, Jayanagar, Bengaluru - 560041",Bangalore,560041,1,38,29-Aug-18,3.1,15,,,,,2,POC,,,,,,5.4
288,Snehix,EdTech,"E-ink tablet, Classroom Software",Electronics,"Kasavanahalli Main Road, Bengaluru, Karnataka 560035, IN",Bangalore,560035,1,16,2-Jan-20,1.8,6,,3,2,"Elevate 2020, IoT Matrix 2020",2,POC,,,,,,2.9
289,Steradian Semiconductors,Semiconductors,mmWave Radar ,Semiconductors,"Steradian Semiconductors Pvt. Ltd.
Unit 216, Brigade Arcade,
Brigade Metropolis,
Garudacharpalya, Mahadevapura,
Bangalore INDIA 560048",Bangalore,560048,3,16,22-Jan-16,5.7,25,,4,1,IoT Matrix 2020,4,Growth,,,,,,5.0
290,Icosys Technologies,IoT,Smart Home and Automation,IoT,"No. 130 (Old No. 230/6-A), Bull Temple Road, Basavanagudi, Bangalore, Karnataka 560018",Bangalore,560018,1,7.3,22-Feb-18,3.6,20,,3,1,IoT Matrix 2020,2,POC,,,,,,3.1
291,Active Intelligence,Fintech - Banking,Conversational AI,AI,"5th Floor, Navigator Building, ITPL, Pattandur Agrahara, Whitefield, , Bengaluru, Karnataka 560066, IN",Bangalore,560066,1,25,16-Feb-16,5.7,91,,3,,,4,Growth,14.8,14-Sep-20,,12,,12.9
292,AppAchhi,AI,Automatic Mobile App Testing,Machine Learning,"South End Road, Jaya Nagar 1st Block, #40, 3rd Floor, Sri Lakshminarayana Mansion, Bengaluru, Karnataka 560004",Bangalore,560004,3,18.8,6-May-15,6.4,18,,3,,,1,Seed,0.25,,,,,4.4
293,Aryabhatta robotics,Surveillance,AI-based face recognition Software,Computer Vision,"NASSCOM 10,000 Startups Warehouse
Lower Ground Floor, Diamond District
Old Airport Raod, Kodihalli,
Old Airport Rd, ISRO Colony,
Domlur, Bengaluru, Karnataka 560008 ",Bangalore,560008,3,16,3-Jul-17,4.3,18,,4,,,1,Seed,0.168,01-Jan-18,,7,,4.7
294,AShield Technologies,Cybersecurity,Cyber Security,"Spatial Cryptography, AI-ML","26/1, 18th Main, 38th Cross, Jayanagar, 4th T Block, Bangalore, 560041, India ",Bangalore,560041,3,13,18-Jun-18,3.3,24,,3,6,,1,Seed,,,,,,4.3
295,AskSid.ai,Retailtech,,Conversational AI,"The Presidency, St. Marks Road, Bangalore, Karnataka 560001, IN",Bangalore,560001,3,21,15-Dec-16,4.8,17,,3,,,1,Seed,0.239,13-Dec-17,,3,,4.7
296,Augtual Reality Labs,Retailtech,industry 4.0,XR (Extended Reality),"No.482, 8th Main, 11th Cross, 2nd Phase Girinagar, Bangalore",Bangalore,560085,3,11,3-Jul-18,3.3,15,,4,,,1,Bootstarpped,,01-May-07,,7,,3.9
297,Bitonic Technology Labs,AI,Chatbot,NLP,"B-9, 5th Floor Brigade Summit , ITPL Main Rd, Brigade Metropolis, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048",Bangalore,560048,2,20,22-Jan-16,5.7,478,,4,,,4,Growth,24.1,17-Apr-20,,500,,89.4
298,Clootrack Software Labs,AI,Trend Analysis,AI,"Lets Start Coworking Space, JP Nagar , Bangalore, Karnataka 560078, IN",Bangalore,560078,1,15,17-Apr-17,4.5,34,,3,,,1,Seed,0.655,29-Jan-19,,12,,6.1
299,Coeo Labs,HealthTech,,AI,"#4, Aanand Tower, Bangalore, Karnataka 560025, IN",Bangalore,560025,1,9,1-Oct-14,7.0,4,,4,,,1,Grant,0.657,14-Feb-17,,,15.9,2.8
300,GoDhiyo Solutions,AI,Chatbot for vernacular conversation,NLP,"#3516, 2nd Main Rd, Girinagar 4th Phase, Hosakerehalli Layout, Banashankari, Bengaluru, Karnataka 560085",Bangalore,560085,3,20,2-Jul-18,3.3,13,,4,,,1,Grant,,,,,,3.9
301,Gordian Technologies,Mobility,IoT enabled devices for secure hyperlocal deliveries,IOT,"#4, 14th Cross Rd, Malagala, Krishnananda Nagar, Naagarabhaavi, Bengaluru, Karnataka 560091",Bangalore,560091,3,5,24-Jan-19,2.7,8,,4,,,,,,,,,,1.9
302,Graphene Services,HealthTech,,AI,"87/20, 9th Main Road, 9th Cross Road, Sadashivanagar,
Aramane Nagar, Bangalore,
Karnataka 560080, India",Bangalore,560080,3,22,11-Jan-18,3.8,14,,3,,,,,,,,15,,5.6
303,Horus Intellisys,Automotive,ADAS,"AI, Computer Vision","#21, Sri Sai Krupa, 2nd Floor,
16th Cross, Sampige Road
Malleswaram, Bangalore-560003
Karnataka,India",Bangalore,560003,1,35,21-Jul-16,5.2,5,,4,,,,,,,,,,4.8
304,Infilect Technologies,Retailtech,Enterprise Solutions,"AI, Computer Vision","#12056, Sobha Elite Apt, Nagasandra, 8th Mile, Tumkur Road, Bangalore – 560073",Bangalore,560073,3,11,29-Jun-15,6.3,31,,4,,,,,,,,,,4.5
305,Inito (Samplytics Technologies),HealthTech,Infertility,"AI, Computer Vision","Samplytics Technologies Private Limited
1st Floor, #285, 11th Main, Koramangala 4th Block, Bengaluru, 560034, IN",Bangalore,560034,3,8,1-Jul-15,6.3,41,,4,,,1,Seed,1.8,20-Mar-19,,6,12.86,6.0
306,Mimyk,HealthTech,Medical devices,"HardTech, AI, AR/VR.","First Floor, Entrepreneurship Centre, Indian Institute of Science, Bangalore-560012",Bangalore,560012,3,5,8-Aug-17,4.2,16,,4,,,1,Angel,0.5,20-Mar-20,,,4.73,2.9
307,Neridio Systems,AI,Cyber Security,AI,"Innovation Centre, International Institute of Information Technology, Bangalore (IIIT-B) 26/C, Hosur Rd, Electronics City Phase 1, Electronics City, Bengaluru, Karnataka 560100",Bangalore,560100,1,25,17-Feb-17,4.7,4,,3,,,,,,,,14,,5.0
308,nTalents (Ehunch Research Labs),AI,HR-Tech,AI,"NSRCEL, Indian Institute of Management, Bangalore
Bannerghatta Road,
Bengaluru, Karnataka 560076",Bangalore,560076,1,13,27-Nov-17,3.9,8,,3,,,,,,,,,,2.6
309,QuNu Labs,Cybersecurity,Cyber Security,Quantum Computing,"Centenary Building, 2nd Floor, East Wing, Mahatma Gandhi Rd, Bengaluru, Karnataka 560025",Bangalore,560025,2,35,21-Sep-16,5.1,40,,5,,,4,Growth,2.07,06-Jul-19,,,,8.1
310,Rayd8,HealthTech,Diabetic eyecare,"AI, Computer Vision","#811, 10th A Main, Suite #508 1st Floor, Indiranagar Bangalore KA 560038 IN",Bangalore,560038,2,6,18-Apr-18,3.5,4,,4,,,,,,,,,,1.8
311,S & I,Aviation,,Machine Learning,"No.301, Block A, Raghuram Residency, 30 Msr Road, Gokula Bangalore KA 560054 ",Bangalore,560054,3,15,20-Dec-06,14.8,15,,4,,,,,,,,,,4.6
312,SecurelyShare,Cybersecurity,Cyber Security,Machine Learning,"No. 1133, First Floor,
Anand Embassy, 100 Ft road,
HAL 2nd Stage, Indira Nagar,
Bengaluru – 560038 ",Bangalore,560038,2,17,5-Jun-13,8.4,33,,4,,,,,,,,,,5.4
313,Senseforth AI Research,Fintech,Conversational AI,NLP,"218 4th floor, 9th Main Sector 6,
HSR Layout Bengaluru 560102",Bangalore,560102,3,22.5,27-Mar-17,4.6,69,,4,,,4,Growth,0.45,02-Jun-17,,38,,12.4
314,Simplify360,Enterprise Tech,Business Intelligence,"Deep Learning, NLP","5th & 6th floor, Trifecta Adatto, 21, ITPL Main Rd, Mahadevapura, Bengaluru, Karnataka 560048",Bangalore,560048,1,17,10-Feb-09,12.7,79,,4,,,1,Bootstrapped,,,,6,,9.7
315,Sociograph Solutions,Retailtech,,Empathetic AI technology,"DaveAI, 677, 1st Floor, 27th Main, 13th Cross, HSR Layout, Sector 1, Bangalore-560102, Karnataka, India",Bangalore,560102,1,12,22-Sep-16,5.1,23,,4,,,4,Growth,,,,27,,6.9
316,Stylumia Intelligence technology,"RetailTech, FashionTech","Demand Intelligence, Demand Prediction, Consumer Insights","Bigdata, ML,AI,Computer vision","3430, 3rd Cross Rd, Stage 3, Indiranagar, Bengaluru, Karnataka 560038 ",Bangalore,560038,1,28,10-Dec-15,5.9,31,,3,,,4,Growth,,,,100,,16.3
317,Xenon Automotive India,"Fintech - Insurtech,  Automotive",Automation,"AI, Computer Vision","813, 23rd Main, 12 B Cross, JP Nagar Phase 2, Bengaluru, Karnataka 560078, IN",Bangalore,560078,3,20,1-Apr-14,7.5,29,,3,,,4,Growth,0.985,30-Sep-16,,6,,6.4
318,Appknox,Cybersecurity,App Security Testing,"Vulnerability, Penetration Testing","473/1, Krishna Temple Road, Indiranagar Stage 1, Bangalore, Karnataka 560038",Bangalore,560038,1,8,08-Jan-16,5.8,34,,3,,,4,Growth,0.66,16-Aug-16,,,,4.6
319,Niral Networks,Telecom,Software Defined Networking,"5G, ORAN, SDN","Niral Networks Private Limited, 2nd Floor, Alpha Block, Sigma Soft Tech Park, Whitefield Main Road, Varthur Kodi, Bengaluru, India 560066 ",Bangalore,560066,3,18,11-Jul-19,2.3,6,,4,,,2,Pilot,,,,3,,3.6
320,Lekha Wireless,Telecom,Wireless Infrastructure,"3GPP, 5GNR, NBIoT, DSP Processor firmware","Roshini Chambers #947, 24th Main Road, J P Nagar 2nd phase, Bangalore- 560078, Karnataka, India",Bangalore,560078,1,21,16-Nov-10,10.9,152,,4,3,,4,Growth,,,7,,360,22.8
321,Signalchip,Telecom,Fab-less semiconductors,RF Chip Design,"4C-116, 4th Cross, OMBR Layout, Banaswadi, Bangalore-560043, India",Bangalore,560043,3,23,14-Jul-10,11.3,47,,4,,,4,Growth,6.54,18-Mar-16,,,,8.4
322,Nivetti Systems,Telecom,"Network infrastructure, Cyber Security ",Network Operating System,"Research & Innovation wing, PESU ECC Main Rd, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100",Bangalore,560100,1,20,18-Feb-14,7.7,20,,4,,,2,Pilot,1.73,20-May-16,,,,5.0
323,Prakshep,"AgriTech, Mapping","Geofencing, Survey","Satellites, Drones, Vehicle sensors, AI ","Prakshep Pvt Ltd, 673, 29th Main road BTM Stage 2, Bangalore, Karnataka 560076, IN",Bangalore,560076,1,5,05-Dec-16,4.9,12,,4,,,1,Early Stage,0.5,07-Jul-17,,,,2.4
324,Wellnesys Solutions,HealthTech,FitnessTech,"IoT, Artificial Intelligence, Computer Vision, AR/VR","2nd floor, 66, 478/1, 33rd Cross Rd, 4th Block,
Jayanagar, Bengaluru, Karnataka 560011",Bangalore,560011,3,16,17-Oct-18,3.0,22,,3,,,1,Early Stage,,,,,,4.0
325,Embedsense Solutions,Enterprise Tech,IIoT,"Structural Health Monitoring, Wireless Sensors","No. 28/1, SBM Colony, 2nd Main Anandnagar, Bengaluru, Karnataka-560024",Bangalore,560024,3,22,04-Sep-15,6.1,21,,3,6,,3,Early Traction,0.1,01-Aug-19,,9,,6.4
326,Hachidori Robotics,Robotics,Autonomous Mobile Robot (AMR),Warehouse Automation,"No G1 & G2 ,#150/151, Meenakshi Layout, Kalena Agrahara, Gottigere Bangalore 560076",Bangalore,560076,3,23,16-Aug-19,2.2,5,,3,,,1,Early Stage,,,,,,3.5
327,Amberroot Systems,Power Electronics,Electric Motors,Solar Powered,"251/252 , 3rd Main, 3rd Cross Rd, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",Bangalore,560078,1,25,03-Apr-09,12.5,12,,3,,,4,Growth,,,,,500,15.4
328,GetVu,AR/VR,"Training, Education, Remote Operations","AR, VR, MR","#1564, 3rd floor, Revanna's, HSR Layout 2nd Sector, 27th Main Road, Bengaluru Karnataka 560102",Bangalore,560102,1,5,Strike Off,0.0,2,,3,,,0,Wound Up,0.025,21-Jan-14,,,,1.0
329,TalaSecure,Cybersecurity,IoT Device Security,"IoT, Cybersecurity","Shravanthi Orchids, Padmanabanagar, 006, Bangalore, Karnataka 560070 ",Bangalore,560070,3,35.4,03-Jul-16,5.3,6,,4,1,Cisco Launchpad Cohort 3,3,Pilots,14.6,07-Jun-19,2.5,,,7.2
330,CloudSEK,Cybersecurity,AI,SaaS,"CloudSek Info Security Pvt. Ltd., 901, MSM Corner, 7th Main Rd, HAL 2nd Stage, Appareddipalya, Indiranagar, Bangalore, Karnataka 560038",Bangalore,560038,3,11.4,11-Sep-15,6.1,88,,4,2,"1) NASSCOM Emerge 50
2) NetApp Cohort 5",4,Growing,2.5,26-Feb-19,1,14,,10.8
331,Sequretek,Cybersecurity,"Complaince, Threat Monitoring",Cybersecurity,"118 Gayathri Lake Front,
Ring Road, Hebbal,
Bengaluru - 560024",Bangalore,560024,3,28.4,06-Nov-13,7.9,262,,4,,,4,Growing,5,30-Jun-20,,120,,35.5
332,Seconize,Cybersecurity,"Complaince, Risk Mgmt, Threat Intelligence",Cybersecurity,"DD3, Diamond District,, HAL Old Airport Rd, ISRO Colony, Domlur, Bengaluru, Karnataka 560008",Bangalore,560008,3,19.5,04-Dec-17,3.9,10,,4,,,2,Growing,,,,11,,4.9
333,Thinking Stack,AI,CV,Video Analytics,"We Work Galaxy, 43, Residency Road
Bengaluru - 560025",Bangalore,560025,3,15,29-Mar-19,2.6,7,,3,,,1,Unfunded,,,,,,2.9
334,Emelite Technologies,Design House,Power Electronics,"Automotive, Solar, PE","#257, Sri Nanjundeshwara Complex, Nagarbhavi 8th block, 2nd Stage, ORR, opp to Vijaya Nethralaya Hospital, Bangalore - 560072",Bangalore,560072,2,18.4,06-Jun-20,1.4,14,,4,,,1,Bootstrapped,,,,12,60,6.0
335,Semicosys Electronics,Power Electronics,"UPS, BioMedical",,"#867/A, 1ST Floor Adithya Complex, 2nd Cross, Gokula 1st stage, Mathikere, Bangalore – 560054",Bangalore,560054,1,12.4,20-Feb-15,6.7,28,,4,,,4,Growing,,,,29,,7.6
336,Stellapps Technologies,AgriTech,Animal Husbandry,Cattle Management,"46/4, Novel Tech Park, Kudlu Gate, GB Palya, Hosur Road,Bangalore, Karnataka-560068",Bangalore,560068,3,25.4,20-Apr-11,10.5,288,,4,22,https://www.stellapps.com/about/,4,Established,18.8,17-Jun-20,,27,,30.9
337,Tulasi Technologies,AgriTech,Animal Husbandry,Poultry Software,"Sakti Statesman, 507, Sy No.34/1,7th Main, Ibblur,
Landmark : Sarjapur-Outer Ring Road Junction,
Near Sun City Apartments, Bangalore-560103",Bangalore,560103,2,19.4,19-Jul-06,15.3,30,,3,,,4,Established,,,,24,,8.8
338,Chipster Technologies,"IIoT, AI",Smart Factory,Machine Analytics,"#32, Duo Residency Jakkur Plantation Bellary Road Yelahanka Post Bangalore Bangalore KA 560064",Bangalore,560064,2,17.4,14-Feb-13,8.7,7,,4,1,"top 10 startups at TiE Antahprerana, in the Hardware startups category for the Compact Desktop PC design and development",4,Bootstarpped,,,,8,,4.9
339,Innvolution Healthcare,HealthTech,Imaging Devices,"Imaging, Medical","#121F, Bommasandra Industrial Area,Phase 1, Hosur Main Road, Electronic City, Bangalore - 99, Karnataka, India
",Bangalore,560009,3,19.5,20-Dec-11,9.8,69,,3,6,https://innvolutionimaging.com/about_us/,4,Growing,,,,9,,10.0
340,Camcom (Gifto Retail),Enterprise Tech,AI,Saas,"136, 3rd Cross, 3rd Main, JP Nagar Dollars Colony, Bengaluru South, Karnataka 560078",Bangalore,560078,1,25.4,07-Sep-17,4.1,45,,3,8,on website,4,Seed,2.04,13-Feb-20,,4,,8.0
341,LitmusEye,Finance,"Auditing, Invoice Fraud Analytics","CV, NLP, SaaS","4th Floor, No 22, Salarpuria Towers-1, Hosur Road, Koramanagala, Bangalore Ka 560095",Bangalore,560095,1,9.5,04-Jun-20,1.4,5,18,4,,,3,Pilot,0.055,14-Sep-20,,,,3.5
342,Kalpnik,Tourism,AR/VR,,"Second Floor, RXDX Building
Plot No. 7G, Opp. Graphite India
Whitefield, Bengaluru – 560048",Bangalore,560048,3,19.5,22-Jul-16,5.2,6,,4,,,1,Seed funded,0.852,20-Apr-19,,,,3.7
343,FlippAR Go,Tourism,AR/VR,,"4th Floor, NUMA Bengaluru
46/1, Church Street
Bangalore 560001",Bangalore,560001,3,21,12-Aug-15,6.2,6,,3,,,1,Unfunded,,,,,,3.7
344,TraceX Technologies,Agri,Track and trace,Blockchain,"113, 6th Cross, E-Block, Krishna Gardens, RR Nagar",Bangalore,560059,3,44,29-Aug-19,2.1,17,,3,,,,,0.188,29-Oct-20,,,,6.3
345,Trinity Mobility,Smart Cities,IIoT,Device Platforms,"#21/1-1, Nawab Towers,
Cunningham Road,
Bengaluru, Karnataka - 560052",Bangalore,560052,2,34,04-Jun-11,10.4,280,,4,,,4,Growth,32.5,16-Nov-20,,,12003,268.3
346,Minion Labs,Urbantech,Smart Buildings,AI,"No.2281, 14th A Main Road,
Off 100 Feet Road, Near New Horizon School,
HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka - 560008",Bangalore,560008,1,5.6,07-Jul-17,4.3,11,,4,,,1,Seed,0.2,27-Feb-20,,,37.5,3.1
347,Playsolar Systems,Urbantech,Solar Energy,Analytics,"#2434, Kashi, 15th A Cross, 26th Main,
Sector I, HSR Layout, Bengaluru - 560102",Bangalore,560102,3,21.5,08-May-15,6.4,6,,4,,,1,Seed,0.1,03-Mar-18,,,,3.9
